Gene	SRR2072599	SRR2072600	SRR2072601	SRR2072602	SRR2072603	SRR2072604	SRR2072605	SRR2072606	SRR2072608	SRR2072609
ENSG00000101224	137.5272	535.4338	459.06116	248.06403	197.84103	754.9899	499.5065	195.30287	594.579	563.06067
ENSG00000101230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9860857	0.0	0.0
ENSG00000101236	1946.2316	1179.1525	587.9933	1742.6687	1786.332	658.2566	454.3939	1681.9535	476.4277	471.91394
ENSG00000101246	207.25414	264.1509	161.83575	260.4902	244.64027	102.81359	262.21445	133.50452	134.58282	386.46515
ENSG00000101247	474.592	358.5744	474.16794	366.97928	346.67554	349.36264	440.52997	329.12366	311.5986	279.74588
ENSG00000101251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101255	20.956526	78.42884	91.5056	130.52283	66.48665	137.61761	137.28026	157.1674	210.73671	110.358116
ENSG00000101265	9459.261	8297.735	6516.4917	8796.361	9649.893	6241.6323	6064.665	8153.043	6536.8057	3997.3716
ENSG00000101266	1046.8787	1850.5415	1864.7782	1271.3052	971.90924	1692.8114	2153.6892	997.7006	1859.0776	1494.2317
ENSG00000101276	4.411162	0.9936477	1.9787643	0.0	4.928317	2.9866571	0.0	0.0	1.9894048	1.9906267
ENSG00000101280	97.27572	4.1822505	16.83325	4.233747	140.03186	3.3845866	25.01139	7.5130863	6.018622	27.959833
ENSG00000101282	1.937606	0.9897055	0.0	0.0	0.0	0.99562865	0.0	0.0	0.0	0.0
ENSG00000101290	2241.9292	1083.3257	2173.4802	1344.4386	2459.8984	1412.5004	2574.686	1771.0155	1162.9497	1771.3
ENSG00000101292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101294	887.6753	697.5071	1394.3334	1374.9662	1032.7584	576.71155	1358.2944	1307.702	763.2444	1591.6215
ENSG00000101298	4.886871	8.903668	1.9809961	2.0001545	8.898482	5.9673014	4.0521255	3.0026708	23.100067	0.0
ENSG00000101306	0.0	0.0	0.98515636	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101307	308.3264	141.89415	660.6535	1424.4058	228.99867	122.64183	628.91266	1336.9316	153.05244	788.1975
ENSG00000101310	1413.3944	725.95795	550.9354	451.15442	647.40076	448.47113	447.35544	544.8788	503.3345	338.6184
