Gene	SRR3471108	SRR3471109	SRR3471110	SRR3471111	SRR3471112	SRR3471113	SRR3471114	SRR3471115	SRR3471116
ENSMUSG00000061544	534.60565	583.9967	439.05856	387.59244	332.3251	287.20648	540.37476	448.04303	571.5106
ENSMUSG00000061549	0.0	0.0	0.0	0.0	0.0	0.9692793	2.8836555	1.9233894	1.9652079
ENSMUSG00000061559	556.3074	591.9861	477.61227	598.81525	597.3835	481.0646	969.855	1003.73785	820.05347
ENSMUSG00000061561	42.4712	56.474136	33.50008	37.446568	38.068478	44.46818	70.876076	62.246677	58.26197
ENSMUSG00000061576	7.773022	16.94095	14.37896	19.65614	14.731503	9.940192	18.17869	21.49745	17.532284
ENSMUSG00000061577	14.287299	6.4671807	7.893492	0.0	4.3755875	1.438208	6.6198077	26.05871	21.198242
ENSMUSG00000061578	24.486446	27.860107	31.574482	20.207897	19.849848	19.120907	28.332613	47.27513	30.829472
ENSMUSG00000061584	0.0	0.0	0.0	0.9549397	1.0126991	0.0	0.0	1.9588554	1.9851875
ENSMUSG00000061589	3598.7715	3449.612	2851.0483	3379.131	3293.3308	2667.6245	4975.984	4969.0234	4075.8257
ENSMUSG00000061601	51.605133	67.64083	25.155941	40.826527	49.584995	34.026928	97.30201	109.6112	89.79423
ENSMUSG00000061602	2.1095638	0.0	1.0009515	4.110247	0.9700358	4.793845	10.52273	13.379156	9.642309
ENSMUSG00000061603	68.933105	64.94852	48.805725	79.312294	76.261314	67.7239	122.872154	113.663155	91.92376
ENSMUSG00000061607	7955.9663	7800.9214	6657.765	5810.233	5422.6577	4774.7485	8301.966	8948.254	7145.7827
ENSMUSG00000061613	4222.3774	4515.1494	4120.5654	5527.176	5844.6353	5281.506	8129.037	8356.406	6718.428
ENSMUSG00000061614	5.063618	1.037599	2.128453	9.290116	5.269089	2.9743197	8.243592	15.044389	5.999088
ENSMUSG00000061615	95.250015	85.99468	78.36831	130.98357	76.855	85.76666	169.56462	183.82999	144.02705
ENSMUSG00000061616	1.9401908	1.9190757	1.00628	2.3529913	0.0	2.3855119	2.2322466	2.1721683	6.7741275
ENSMUSG00000061619	0.0	0.0	0.0	0.0	0.0	0.9503008	0.0	0.0	0.0
ENSMUSG00000061626	18.490332	33.57618	22.70879	23.297073	20.368614	20.808615	25.20441	33.8904	20.57142
ENSMUSG00000061633	0.0	0.0	0.0	0.9629812	0.0	0.9816418	0.0	0.0	0.0
ENSMUSG00000061637	9.362286	13.621962	8.200172	26.33916	12.381104	7.3693075	15.406693	22.21244	13.139674
ENSMUSG00000061650	607.4049	637.2422	469.31317	829.12085	791.0044	736.8217	978.4231	1008.9661	795.8664
ENSMUSG00000061653	297.58856	311.25644	222.17523	373.49573	352.7407	301.654	591.17664	559.8878	501.20325
ENSMUSG00000061654	3.068688	1.0025231	4.9505515	0.0	0.97183156	0.97700065	1.0134201	0.0	0.0
ENSMUSG00000061665	5929.5317	6061.599	4782.9556	4357.223	4287.9727	3465.71	6301.389	6384.4453	5462.5967
ENSMUSG00000061666	500.55658	484.72214	417.86392	347.58398	357.09683	321.90295	548.4955	504.73685	443.34055
ENSMUSG00000061689	1234.0076	1324.1272	1128.1443	1381.4624	1249.7301	1058.069	2697.3516	2621.7625	2269.6716
ENSMUSG00000061701	4.210785	5.2244744	6.0358086	7.994113	5.6864767	5.8779235	6.7496214	8.70357	4.377779
ENSMUSG00000061702	8.591644	33.689312	14.667449	16.573105	23.03056	19.639462	52.217785	45.174213	33.25854
ENSMUSG00000061707	1.0196457	1.0092419	2.9477024	0.97243875	0.9868055	0.9943121	3.9613445	2.9603171	1.9604275
ENSMUSG00000061718	0.7745066	0.0	1.9565368	0.0	0.0	0.0	3.5649314	2.6709938	0.9095094
ENSMUSG00000061723	16.436987	21.03131	19.824728	6.103436	4.740465	4.9318337	16.04231	9.092238	8.705415
ENSMUSG00000061731	1780.4565	1885.1088	1485.0511	2369.2495	2478.4036	2127.4207	4665.3037	4623.1987	3732.4243
ENSMUSG00000061740	49.84434	77.13755	48.28135	8.944793	6.226252	5.54236	22.866611	7.4621525	11.757281
ENSMUSG00000061742	8.682108	5.1096354	9.2645855	7.9841456	3.4957647	5.430913	8.654541	14.671259	6.1592317
ENSMUSG00000061751	165.44464	133.88254	116.428055	252.54121	217.90645	198.70395	250.17146	267.05215	269.41882
ENSMUSG00000061755	7294.512	7564.6104	6296.4307	5427.603	6068.1167	4917.118	8807.048	8634.08	6929.963
ENSMUSG00000061758	412.08582	404.87177	361.43402	148.9638	137.76184	115.077126	338.73206	316.94843	251.92308
ENSMUSG00000061759	948.6944	1065.4943	986.7983	781.3687	806.1505	702.5654	1310.4442	1172.2197	1120.7994
ENSMUSG00000061762	0.0	0.0	0.0	0.0	0.0	0.0	5.371787	0.58904666	1.9463984
ENSMUSG00000061769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061778	1181.5251	1237.2644	1011.7492	1107.938	1131.0784	965.968	1642.7544	1576.1556	1399.6567
ENSMUSG00000061780	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061787	8661.808	9627.24	8448.681	12110.898	10388.974	11087.771	20187.172	19930.73	17198.701
ENSMUSG00000061798	26.093166	32.86589	38.936806	22.821814	26.19971	20.742556	52.756382	40.704784	36.999496
ENSMUSG00000061802	0.0	0.6427689	0.611397	2.0133991	0.0	0.0	22.507458	1.9455419	22.96835
ENSMUSG00000061808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061809	0.0	0.0	0.0	0.0	0.98805726	0.951379	3.9097283	3.9030325	1.9523382
ENSMUSG00000061815	1.0942274	1.077666	0.0	0.9268688	0.0	0.0	0.9301282	1.0883445	1.8352652
ENSMUSG00000061816	0.0	0.0	4.3008256	4.32901	0.0	2.508665	0.6028722	6.143662	1.3881794
ENSMUSG00000061825	0.0	3.5496306	1.6926396	9.847348	16.328417	8.884699	47.713604	31.236595	46.12356
ENSMUSG00000061829	48.551765	36.257313	25.684355	35.60296	38.39925	19.123774	70.172615	56.21204	47.038208
ENSMUSG00000061838	2273.797	2273.4321	1785.8151	2628.6177	2803.0386	2281.5671	4544.881	4308.3047	3617.938
ENSMUSG00000061845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061847	0.0	0.0	0.0	0.0	0.0	0.0	0.9746936	0.0	0.0
ENSMUSG00000061859	431.21936	454.34738	327.32742	259.13055	333.31046	248.3045	433.46088	418.06223	313.99976
ENSMUSG00000061875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
